transactionId,debtorIban,creditorIban,amount,currency,instructedAt,status
f7e1a1b0-1c2d-4e3f-8a9b-1a2b3c4d5e6f,DE89370400440532013000,FR7630006000011234567890189,1000.00,EUR,2026-01-10T10:15:30,VALID
e2b2c3d4-5f6a-7b8c-9d0e-1f2e3d4c5b6a,NL91ABNA0417164300,ES9121000418450200051332,250.50,EUR,2026-01-15T12:00:00,VALID
f3c4b5a6-7d8e-9f0a-1b2c-3d4e5f6a7b8c,DE89370400440532013000,NL91ABNA0417164300,999999.99,EUR,2026-01-20T09:45:00,VALID
e4d5c6b7-8f9a-0b1c-2d3e-4f5a6b7c8d9e,FR7630006000011234567890189,DE89370400440532013000,0.01,EUR,2026-01-25T14:30:00,VALID
f5e6d7c8-9a0b-1c2d-3e4f-5a6b7c8d9e0f,ES9121000418450200051332,FR7630006000011234567890189,500.00,EUR,2026-01-30T16:00:00,VALID
e6f7a8b9-0c1d-2e3f-4a5b-6c7d8e9f0a1b,NL91ABNA0417164300,DE89370400440532013000,100.00,EUR,2026-01-05T11:20:00,VALID
f6a7b8c9-0d1e-2f3a-4b5c-6d7e8f9a0b1c,DE89370400440532013000,ES9121000418450200051332,750.00,EUR,2026-01-12T13:10:00,VALID
e7b8c9d0-1a2b-3c4d-5e6f-7a8b9c0d1e2f,FR7630006000011234567890189,NL91ABNA0417164300,1200.00,EUR,2026-01-18T08:55:00,VALID
f7c8d9e0-1b2c-3d4e-5f6a-7b8c9d0e1f2a,ES9121000418450200051332,FR7630006000011234567890189,300.00,EUR,2026-01-22T17:40:00,VALID
e8c9d0e1-2a3b-4c5d-6e7f-8a9b0c1d2e3f,NL91ABNA0417164300,DE89370400440532013000,50.00,EUR,2026-01-28T19:25:00,VALID
f8d9e0f1-2b3c-4d5e-6f7a-8b9c0d1e2f3a,DE89370400440532013000,NL91ABNA0417164300,0.00,EUR,2026-01-08T07:30:00,REJECTED
